ID,Credit_Card_Name,Image,Image_File,Issuer,Category,Annual_Fee,Annual_Fee_Detail,Additional_Card_Fee,Additional_Card_Detail,Purchase_Interest_Rate,Cash_Advance_Interest_Rate,Rewards_Program,Welcome_Bonus,Welcome_Bonus_Detailed,Welcome_Bonus_Value,Welcome_Bonus_Eligbility,Features,Features_Detailed,Card_Eligibility,Insurance,Product_Link
11,TD Cash Back Visa Infinite Card,,TD Cash Back Visa Infinite Card.png,TD,Cash Back,$129,$139,$50,$50 for first Additional Cardholder; $0 for subsequent Additional Cardholders.,20.99%,22.99%,Cash Back Dollars,Earn up to $600 in value,"Earn up to $600 in value ^ , including 10% in Cash Back Dollars in the first 3 months on Bonus Eligible Purchases up to a total spend of $3,500 2 , # . Conditions apply.",$600,This offer is not available customers who have activated and/or closed a TD Cash Back Visa Infinite Account in the last 12 months.,"Earn 3% Cash Back on Grocery, Gas & Electric Vehicle Charging, and Public Transit Purchases. Earn 3% Cash Back on Recurring Bill Payments, and Streaming, Digital Gaming & Media Purchases. Earn 1% Cash Back on all other Purchases","Earn 3% in Cash Back Dollars on Grocery, Gas & Electric Vehicle Charging, Public Transit, Recurring Bill Payments, and Streaming, Digital Gaming & Media Purchases 3 , # . and 1% in Cash Back Dollars on all other purchases 5 , # .","$60,000 personal or $100,000 household annual income. You are a Canadian resident and are of the age of majority in your province/territory of residence.",,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-infinite-card
12,TD Cash Back Visa Card,,TD Cash Back Visa Card.png,TD,Cash Back,$0,No annual fee,$0,$0,19.99%,22.99%,Cash Back Dollars,,,,,"Earn 1% in Cash Back Dollars on Grocery, Gas & Electric Vehicle Charging, Public Transit, Recurring Bill Payments, and Streaming, Digital Gaming & Media Purchases. Earn 0.5% in Cash Back Dollars on all other Purchases","Earn 1% in Cash Back Dollars on Purchases you make on your TD Cash Back Visa Card (""Account"") at merchants classified by the Visa payment network's Merchant Category Code (""MCC"") as Grocery Stores and Supermarkets (MCC 5411) (""Grocery Purchases""), or Gas Service Stations (MCC 5541), Automated Fuel Dispensers (MCC 5542), and Electric Vehicle Charging (MCC 5552) (""Gas & Electric Vehicle Charging Purchases""), or Local and Suburban Commuter Passenger Transportation, Including Ferries (MCC 4111) (""Public Transit Purchases""), or Digital Goods Media - Books, Movies, Music (MCC 5815), Digital Goods - Games (MCC 5816), Digital Goods - Applications (MCC 5817), Digital Goods - Large Digital Goods Merchants (MCC 5818), Cable, Satellite and Other Pay Television/Radio/Streaming Services (MCC 4899) (""Streaming, Digital Gaming & Media Purchases""), or that are classified by the Visa payment network as recurring payments that are pre-authorized with a merchant to occur on a monthly or other regularly recurring basis ( ""Recurring Bill Payments""). The Cash Back Dollar earn rate for the following purchase categories: (i) Grocery Purchases, (ii) Gas & Electric Vehicle Charging Purchases, (iii) Public Transit Purchases, and (iv) Recurring Bill Payments and Streaming, Digital Gaming & Media Purchases is only available on the first $5,000 in annual Purchases in that category (""Annual Cap""). If your total Purchases in one of these categories (i) through (iv) exceeds the Annual Cap in a year, you will earn the Base Earn Rate on Purchases in that category for the remainder of the year. If you have any questions about the MCC that applies to a Purchase, contact TD at
1-800-983-8472.
4
Earn 0.5% in Cash Back Dollars (""Base Earn Rate"") on all other Purchases that do not fall into any other Purchase category identified in the TD Cash Back Program Terms and Conditions (""Other Purchases"") charged to your TD Cash Back Visa Card (""Account"").",You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-card
13,TD Aeroplan Visa Infinite Card,,TD Aeroplan Visa Infinite Card.png,TD,Travel,$129,$139 per year,$75,$75 per year for each authorized user/additional cardholder.,20.99%,22.99%,Aeroplan Points,"Up to $1,350 in value","Earn a welcome bonus of 10,000 Aeroplan points when you make your first Purchase with your new Card
1
Earn 15,000 Aeroplan points when you spend $7,500 within 180 days of Account opening
1
Plus, earn a one-time anniversary bonus of 15,000 Aeroplan points when you spend $12,000 within 12 months of Account opening","$1,350","To be eligible for this offer, you must: (i) be approved for a TD Aeroplan Visa Infinite Card account (""
Account
"") while this offer is in effect, and (ii) not have opened any TD-Aeroplan Visa Card account (e.g., Platinum, Infinite, Infinite Privilege or Business] in the last 12 months.","Earn 1.5 points
5
for every $1 spent on eligible gas, electric vehicle charging, grocery and direct through Air Canada
purchases (including Air Canada Vacations) made with your Card.
Earn 1 point
5
for every $1 spent on all other Purchases made with your Card","Earn 1.5 Aeroplan points (Bonus Rate) earned for each $1 in Purchases of Gas, Electric Vehicle Charging, Grocery or direct through Air Canada Products (earned only on a maximum annual amount of $80,000 of Purchases of Gas, Electric Vehicle Charging, Grocery or Air Canada Products); or
1 Aeroplan point earned for each $1 on all other Purchases.","$60,000 annual personal income or $100,000 annual household income.
You are a Canadian resident and are of the age of majority in your province/territory of residence.",,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-card
14,TD Aeroplan Visa Platinum Credit Card,,TD Aeroplan Visa Platinum Credit Card.png,TD,Travel,$89,$89,$35,$35 per year,21.99%,22.99%,Aeroplan Points,"Up to 15,000 Aeroplan points","Earn a welcome bonus of 10,000 Aeroplan points when you make your first Purchase with your new Card
Earn an additional 5,000 Aeroplan points when you spend $1,000 within 90 days of Account opening",up to $400,"To be eligible for this offer, you must: (i) be approved for a TD Aeroplan Visa Platinum Card account (""
Account
"") while this offer is in effect, and (ii) not have opened any TD-Aeroplan Visa Card account (e.g., Platinum, Infinite, Infinite Privilege or Business] in the last 12 months.","Earn 1 Aeroplan point for every $1 you spend on eligible gas, electric vehicle charging, grocery and Air Canada purchases, including Air Canada Vacations
Earn 1 point for every $1.50 you spend on all other purchases.","Earn 1 Aeroplan point (Bonus Rate) earned for each $1 in Purchases of Gas, Electric Vehicle Charging, Grocery or direct through Air Canada Products (earned only on a maximum annual amount of $80,000 of Purchases of Gas, Electric Vehicle Charging, Grocery or Air Canada Products); or
1 Aeroplan point earned for each $1.50 on all other Purchases.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-platinum-card
15,TD Aeroplan Visa Infinite Privilege Credit Card,,TD Aeroplan Visa Infinite Privilege Credit Card.png,TD,Travel,$599,$599 annual fee. Discount to $460 with TD All-Inclusive Banking Plan. First-year rebate possible with conditions.,$199,$199 per year. Discount available with TD All-Inclusive Banking Plan.,21.99%,22.99%,Aeroplan Points,"Earn a welcome bonus of 20,000 Aeroplan points when you make your first Purchase with your new Card","Earn a welcome bonus of 20,000 Aeroplan points when you make your first Purchase with your new Card
1
Earn an additional 35,000 Aeroplan points when you spend $12,000 within 180 days of Account opening
1
Plus, earn a one-time anniversary bonus of 30,000 Aeroplan points when you spend $24,000 within 12 months of Account opening","up to $3,000","Even if TD approves your application for an Account, the award and issuance of any Aeroplan points pursuant to this offer is subject to the Aeroplan program general Terms and Conditions located at aircanada.com/Aeroplan-termsandconditions, which provide that incentive or bonus Aeroplan points offered (including, for example, the Welcome Bonus, Additional Bonus and Anniversary Bonus described in this offer) to become an Aeroplan credit cardholder and/or to activate, use or hold a new Aeroplan credit card may not be issued and may be revoked in certain circumstances including, but not limited to, if you have previously received welcome or other incentive Aeroplan points in connection with the opening, activation, use or holding of a new Aeroplan credit card account with TD or another issuer of the same card category type  as the Account.","Earn 2 points for every $1 spent on eligible purchases made directly with Air Canada including Air Canada Vacations. Earn 1.5 points for every $1 you charge to your Card on eligible gas, electric vehicle charging, groceries, travel & transit and dining purchases. Earn 1.25 points for every $1 you charge to your Card on all other purchases.","Earn 2 points 3 for every $1 spent on eligible purchases made directly with Air Canada including Air Canada Vacations.
Earn 1.5 points 3 for every $1 you charge to your Card on eligible gas, electric vehicle charging, groceries, travel & transit and dining purchases.
Earn 1.25 points 3 for every $1 you charge to your Card on all other purchases.","$150,000 annual personal income or $200,000 annual household income.
You are a Canadian resident and are of the age of majority in your province/territory of residence.",,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-privilege-card
16,TD First Class Travel Visa Infinite Card,,TD First Class Travel Visa Infinite Card.png,TD,Rewards,$139,Annual Fee $139,$50,$50 for the first Additional Cardholder; $0 for subsequent Additional Cardholders.,21.99%,22.99%,TD Rewards,"$1,400 in value","Earn a welcome Bonus of 20,000 TD Rewards Points when you make your first Purchase with your Card. Earn 145,000 TD Rewards Points when you spend $7,500 within 180 days of Account opening. Earn a Birthday Bonus of up to 10,000 TD Rewards Points. Get an annual TD Travel Credit of $100 when you book at Expedia  For TD. Get an annual fee rebate for the first year.","$1,400",This offer is not available to customers who have activated and/or closed a TD First Class Travel Visa Infinite* Account in the last 12 months.,"Earn 8 TD Rewards Points for every $1 you spend when you book travel through Expedia For TD. Earn 6 TD Rewards Points for every $1 you spend on Groceries, Dining, and Public Transit. Earn 4 TD Rewards Points for every $1 you spend on Recurring Bill Payments and Streaming, Digital Gaming & Media. Earn 2 TD Rewards Points for every $1 you spend on other Purchases made using your Card plus earn an annual Birthday Bonus of up to 10,000 TD Rewards Points","Earn 8 TD Rewards Points for every $1 in Purchases made through Expedia For TD. Earn 6 TD Rewards Points for every $1 you spend on Groceries, Dining, and Public Transit. Earn 4 TD Rewards Points for every $1 you spend on Recurring Bill Payments and Streaming, Digital Gaming & Media. Earn 2 TD Rewards Points for every $1 you spend on other Purchases made using your Card","$60,000 personal or $100,000 household annual income. You are a Canadian resident and are of the age of majority in your province/territory of residence",,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/first-class-travel-visa-infinite-card
17,TD Platinum Travel Visa Card,,TD Platinum Travel Visa Card.png,TD,Rewards,$89,$89 (often waived in the first year). Additional Cardholder: $35 annually.,$35,$35 for the first Additional Cardholder; $0 for subsequent Additional Cardholders.,21.99%,22.99%,TD Rewards,Earn up to $370 in value,"Welcome Bonus of 15,000 TD Rewards Points when you make your first Purchase with your Card
1
.
35,000 TD Rewards Points when you spend $1,000 within 90 days of Account opening
1
.
Get an annual fee Rebate for the first year",$370,This offer is not available customers who have activated and/or closed a TD Platinum Travel Visa* Account in the last 12 months.,"Earn 6 TD Rewards Points for every $1 you spend when you book travel through Expedia For TD
3
,
6
,
22
Earn 4.5 TD Rewards Points for every $1 you spend on Groceries, Dining, and Public Transit
4
,
22
Earn 3 TD Rewards Points for every $1 you spend on Recurring Bill Payments and Streaming, Digital Gaming & Media
21
,
22
Earn 1.5 TD Rewards Points for every $1 you spend on other Purchases made using your Card","Earn 6 TD Rewards Points for every $1 in Purchases made through Expedia For TD and charged to your TD Platinum Travel Visa* Card Account (""Account"").
Earn 4.5 TD Rewards Points for every $1 in Purchases you make on your TD Platinum Travel Visa* Card (""Account"") at merchants classified by the Visa payment network's Merchant Category Code (""MCC"") as Grocery Stores and Supermarkets (MCC 5411) (""Grocery Purchases""), or Eating Places and Restaurants (MCC 5812), Drinking Places (MCC 5813), and Fast Food Restaurants (MCC 5814) (""Dining Purchases""), or Local and Suburban Commuter Passenger Transportation, Including Ferries (MCC 4111) (""Public Transit Purchases""). The TD Rewards Point earn rate for each of Grocery Purchases, Dining Purchases, and Public Transit Purchases is only available on the first $15,000 in annual net Purchases in each category (""Annual Cap""). If your total Purchases in one of these categories exceeds the Annual Cap in a year, you will earn the Base Earn Rate on Purchases in this category for the remainder of the year. If you have questions about the MCC that applies to a Purchase, contact TD at 1-800-983-8472.
Earn 3 TD Rewards Points for every $1 in net Purchases  you make on your TD Platinum Travel Visa* Card (""Account"") that are classified by the Visa payment network's Merchant Category Code (""MCC"") as Digital Goods Media - Books, Movies, Music (MCC 5815), Digital Goods - Games (MCC 5816), Digital Goods - Applications (MCC 5817), Digital Goods - Large Digital Goods Merchants (MCC 5818), Cable, Satellite and Other Pay Television/Radio/Streaming Services (MCC 4899) (""Streaming, Digital Gaming & Media Purchases""), or by the Visa payment network as recurring payments that are pre-authorized with a merchant to occur on a monthly or other regularly recurring basis (""Recurring Bill Payments""). The TD Rewards Point earn rate on recurring bill payments and Streaming, Digital Gaming & Media is only available on the first $15,000 in annual net Purchases (""Annual Cap""). If your total Purchases in this category exceed the Annual Cap in a year, you will earn the Base Earn Rate on these Purchases for the remainder of the year. If you have questions about the MCC that applies to a Purchase, contact TD at 1-800-983-8472.
Earn 1.5 TD Rewards Points (""Base Earn Rate"") for every $1 on all other Purchases that do not fall into any other Purchase category identified in the TD Rewards Program Terms and Conditions (""Other Purchases"") charged to your TD Platinum Travel Visa* Card Account (""Account"").",You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/platinum-travel-visa-card
18,TD Rewards Visa Card,,TD Rewards Visa Card.png,TD,Rewards,$0,No annual fee,$0,$0,21.99%,22.99%,TD Rewards,"Earn 15,152 TD Rewards Points","Earn 15,152 TD Rewards Points when you spend $500 within 90 days of Account opening",$50,This offer is not available to customers who have activated and/or closed a TD Rewards Visa* Account in the last 12 months.,"Earn 4 TD Rewards Points for every $1 you spend when you book travel through Expedia For TD. Earn 3 TD Rewards Points for every $1 you spend on Groceries, Dining, and Public Transit. Earn 2 TD Rewards Points for every $1 you spend on Recurring Bill Payments and Streaming, Digital Gaming & Media. Earn 1 TD Rewards Points for every $1 you spend on other Purchases made using your Card","Earn 4 TD Rewards Points for every $1 in Purchases of travel made online through Expedia For TD or travel made by phone through Expedia For TD. Earn 3 TD Rewards Points for every $1 in Purchases you make on your TD Rewards Visa* Card at merchants classified by the Visa payment network's Merchant Category Code as Grocery Stores and Supermarkets, or Eating Places and Restaurants, Drinking Places, and Fast Food Restaurants, or Local and Suburban Commuter Passenger Transportation, Including Ferries. Earn 2 TD Rewards Points for every $1 in Purchases you make on your TD Rewards Visa* Card that are classified by the Visa payment network's Merchant Category Code as Digital Goods Media - Books, Movies, Music, Digital Goods - Games, Digital Goods - Applications, Digital Goods - Large Digital Goods Merchants, Cable, Satellite and Other Pay Television/Radio/Streaming Services, or by the Visa payment network as recurring payments that are pre-authorized with a merchant to occur on a monthly or other regularly recurring basis. Earn 1 TD Rewards Point for every $1 on all other Purchases that do not fall into any other Purchase category identified in the TD Rewards Program Terms and Conditions charged to your TD Rewards Visa* Card Account.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/rewards-visa-card
19,TD Low Rate Visa Card,,TD Low Rate Visa Card.png,TD,Low Interest,$25,$25 for the primary cardholder.,$0,$0,12.90%,12.90%,N/A,Get a 0% promotional interest rate on Purchases for the first 6 months,"Get a 0% promotional interest rate on Purchases for the first 6 months
+
from Account opening. Conditions Apply. Offer effective as of June 4, 2025.",N/A,,Earn 50% more Stars at participating Starbucks  stores. Conditions apply.,N/A,You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/low-rate/low-rate-visa-card
20,TD U.S. Dollar Visa Card,,TD U.S. Dollar Visa Card.png,TD,US,$39,$39 USD per year,$0,$0,21.99%,22.99%,N/A,N/A,N/A,N/A,N/A,Eliminate credit card foreign currency conversion rates and fees when making purchases or paying for bills in U.S. Dollars,Eliminate credit card foreign currency conversion rates and fees when making purchases or paying for bills in U.S. Dollars,You are a Canadian resident and are of the age of majority in your province/territory of residence.,,https://www.td.com/ca/en/personal-banking/products/credit-cards/us-dollar/us-dollar-visa-card
21,RBC Avion Visa Infinite,,RBC Avion Visa Infinite.png,RBC,Rewards,$120,$120 annually,$50,$50 per supplementary card,20.99%,22.99%,Avion,"Get up to 55,000 Avion points","Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months","up to $1,100","Generally available to new RBC credit card applicants. The offer is available until June 15, 2026.",Earn 1.25 Avion points on travel related purchases. Earn 1 Avion point on all other eligible purchases,"Earn Rate: 1 Avion point per $1 on most purchases, and 1.25 Avion points per $1 on eligible travel purchases.","A minimum personal income of $60,000 or a minimum household income of $100,000 is required for this card.",,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite.html
22,RBC ION+ Visa,,RBC ION+ Visa.png,RBC,Rewards,$48,$48,$0,$0,20.99%,22.99%,Avion,"Get up to 21,000 Avion points","Get 7,000 Welcome Points and earn 14,000 bonus points when you spend $1,500 in your first 6 months.",up to $150,"Additional cardholders(s) (co-applicant and authorized user(s)) on the RBC ION+ Visa credit card account, as well as existing cardholders on any RBC Royal Bank personal credit card transferring to an RBC ION+ Visa credit card during the Offer Period, are not eligible for this offer.","Earn 3X Avion points for every $1 spent on groceries, gas, dining, food delivery, rideshare, streaming services and more
1
1x
Earn 1X Avion point for every $1 spent on all other qualifying purchases","Earn 3x Avion points on food delivery, dining, groceries, streaming, digital gaming, ridesharing, gas, and electric vehicle (EV) charging. Earn 1x point on all other purchases.","Must be a Canadian resident and have reached the provincial age of majority. A ""Good to Excellent"" credit score (typically 660+) is recommended for approval.",,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-plus-visa-d.html
